epoch,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,births,deaths,food_eaten
1,20,5,15,100.00,150.00,200.00,0,1.00,0,0,10
2,20,4,15,100.00,150.00,200.00,0,2.00,0,0,1
3,21,8,15,100.40,149.27,200.34,1,3.00,1,0,2
4,21,12,15,100.40,149.27,200.34,1,4.02,0,0,4
5,23,10,15,100.56,149.23,199.66,1,5.02,2,0,6
6,23,10,15,100.56,149.23,199.66,1,6.02,0,0,5
7,24,8,15,100.60,149.15,199.63,1,7.02,1,0,6
8,24,11,15,100.60,149.15,199.63,1,8.02,0,0,4
9,25,10,15,100.80,149.49,199.72,1,9.02,1,0,4
10,22,14,15,100.91,149.42,199.68,1,10.02,0,3,3
11,23,10,15,100.65,149.09,199.91,1,11.03,1,0,8
12,24,10,15,101.01,149.74,200.30,1,12.20,1,0,4
13,24,9,15,101.01,149.74,200.30,1,13.27,0,0,5
14,23,8,15,101.05,149.73,200.31,1,14.33,0,1,4
15,22,8,15,101.55,148.09,201.78,1,15.38,1,2,7
16,22,9,15,101.55,148.09,201.78,1,16.47,0,0,2
17,21,10,15,101.23,148.73,201.52,1,17.53,0,1,3
18,21,9,15,100.79,148.40,200.88,1,18.60,1,1,6
19,21,10,15,100.79,148.40,200.88,1,19.67,0,0,3
20,20,11,15,100.83,148.32,200.93,1,20.73,0,1,4
21,22,4,15,100.86,147.87,202.07,1,21.80,2,0,10
22,23,4,15,100.75,147.97,201.70,1,22.87,1,0,7
23,25,3,15,100.28,148.81,201.91,1,23.93,2,0,6
24,22,5,15,100.05,148.63,202.06,2,25.00,1,4,3
25,22,2,15,99.48,149.22,201.13,2,26.07,1,1,8
26,22,4,15,99.48,149.22,201.13,2,27.13,0,0,4
27,22,3,15,99.48,149.22,201.13,2,28.20,0,0,6
28,21,4,15,99.02,150.10,201.14,2,29.27,0,1,5
29,22,6,15,99.48,149.19,201.36,2,30.33,1,0,3
30,22,1,15,99.48,149.19,201.36,2,31.40,0,0,9
31,22,4,15,99.48,149.19,201.36,2,32.47,0,0,3
32,21,7,15,99.45,149.15,201.43,2,33.53,0,1,3
33,20,5,15,99.69,148.32,200.75,2,34.60,0,1,7
34,22,4,15,99.78,147.84,200.14,2,35.67,2,0,5
35,24,5,15,99.62,147.77,200.23,2,36.73,2,0,6
36,25,6,15,99.51,147.54,200.72,2,37.80,1,0,5
37,24,2,15,99.70,147.38,201.01,2,38.87,0,1,6
38,24,4,15,99.70,147.38,201.01,2,39.93,0,0,3
39,25,6,15,99.35,147.98,200.62,2,41.00,1,0,6
40,24,7,15,99.06,148.65,200.10,2,42.07,0,1,3
41,25,4,15,99.36,148.63,199.45,2,43.13,1,0,11
42,25,5,15,99.36,148.63,199.45,2,44.20,0,0,4
43,25,2,15,99.36,148.63,199.45,2,45.27,0,0,6
44,26,2,15,99.10,148.64,199.83,3,46.33,2,1,6
45,26,2,15,99.09,148.52,199.18,3,47.40,1,1,4
46,26,5,15,99.09,148.52,199.18,3,48.47,0,0,4
47,26,8,15,99.09,148.52,199.18,3,49.53,0,0,3
48,27,2,15,99.23,147.60,199.63,3,50.60,2,1,9
49,25,5,15,99.74,146.60,200.19,3,51.67,0,2,4
50,26,2,15,99.63,146.21,200.00,3,52.73,1,0,9
51,26,2,15,99.93,145.39,198.87,3,53.80,1,1,2
52,26,7,15,99.80,145.52,198.61,3,54.87,1,1,3
53,25,1,15,100.08,144.89,199.90,4,55.93,1,2,11
