epoch,year,population,food,bushes,avg_speed,avg_vision,avg_reproduction,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,20,13,15,150.00,150.00,400.00,0,0.05,0.05,0,0,2,1,0,1
2,0.10,20,5,15,150.00,150.00,400.00,0,0.10,0.10,0,0,8,4,0,5
3,0.15,20,2,15,150.00,150.00,400.00,0,0.15,0.15,0,0,3,2,0,7
4,0.21,20,1,16,150.00,150.00,400.00,0,0.20,0.20,0,0,2,1,1,7
5,0.26,20,2,17,150.00,150.00,400.00,0,0.26,0.26,0,0,2,1,1,7
6,0.31,20,4,17,150.00,150.00,400.00,0,0.31,0.31,0,0,1,0,0,7
7,0.36,20,3,17,150.00,150.00,400.00,0,0.36,0.36,0,0,4,2,0,9
8,0.41,20,7,17,150.00,150.00,400.00,0,0.41,0.41,0,0,2,1,0,10
9,0.46,20,6,18,150.00,150.00,400.00,0,0.46,0.46,0,0,4,2,1,11
10,0.52,20,2,19,150.00,150.00,400.00,0,0.51,0.51,0,0,6,4,1,14
11,0.57,20,5,22,150.00,150.00,400.00,0,0.57,0.57,0,0,3,1,3,12
12,0.62,20,5,23,150.00,150.00,400.00,0,0.62,0.62,0,0,6,2,1,13
13,0.67,20,7,25,150.00,150.00,400.00,0,0.67,0.67,0,0,6,5,2,16
14,0.72,20,5,28,150.00,150.00,400.00,0,0.72,0.72,0,0,8,6,3,19
15,0.77,20,3,28,150.00,150.00,400.00,0,0.77,0.77,0,0,5,5,0,24
16,0.83,20,8,31,150.00,150.00,400.00,0,0.82,0.82,0,0,2,2,3,23
17,0.88,20,7,33,150.00,150.00,400.00,0,0.88,0.88,0,0,5,3,2,24
18,0.93,20,10,34,150.00,150.00,400.00,0,0.93,0.93,0,0,5,4,1,27
19,0.98,20,8,35,150.00,150.00,400.00,0,0.98,0.98,0,0,9,1,1,27
20,1.03,17,14,38,150.00,150.00,400.00,0,1.03,1.03,0,3,2,2,3,26
21,1.08,17,11,38,150.00,150.00,400.00,0,1.08,1.08,0,0,7,3,0,29
22,1.13,15,12,39,150.00,150.00,400.00,0,1.13,1.13,0,2,6,4,1,31
23,1.19,15,9,39,150.00,150.00,400.00,0,1.19,1.18,0,0,7,3,0,34
24,1.24,13,13,41,150.00,150.00,400.00,0,1.24,1.24,0,2,7,2,2,32
25,1.29,13,15,42,150.00,150.00,400.00,0,1.29,1.29,0,0,7,5,1,36
26,1.34,13,17,43,150.00,150.00,400.00,0,1.34,1.34,0,0,7,4,1,39
27,1.39,13,14,45,150.00,150.00,400.00,0,1.39,1.39,0,0,12,9,2,46
28,1.44,13,15,47,150.00,150.00,400.00,0,1.44,1.44,0,0,9,4,2,48
29,1.50,13,19,49,150.00,150.00,400.00,0,1.50,1.49,0,0,4,2,2,48
30,1.55,13,24,51,150.00,150.00,400.00,0,1.55,1.55,0,0,7,3,2,49
31,1.60,13,20,51,150.00,150.00,400.00,0,1.60,1.60,0,0,9,4,0,53
32,1.65,12,25,54,150.00,150.00,400.00,0,1.65,1.65,0,1,9,5,3,53
33,1.70,12,24,55,150.00,150.00,400.00,0,1.70,1.70,0,0,10,6,1,58
34,1.75,12,26,57,150.00,150.00,400.00,0,1.75,1.75,0,0,9,5,2,61
35,1.81,12,29,58,150.00,150.00,400.00,0,1.81,1.80,0,0,7,3,1,63
36,1.86,12,27,58,150.00,150.00,400.00,0,1.86,1.86,0,0,11,6,0,69
37,1.92,12,29,60,150.00,150.00,400.00,0,1.92,1.90,0,0,10,6,2,73
38,1.97,12,30,61,150.00,150.00,400.00,0,1.97,1.97,0,0,13,4,1,76
39,2.02,12,23,46,150.00,150.00,400.00,0,2.02,1.84,0,0,6,4,0,80
40,2.07,12,22,48,150.00,150.00,400.00,0,2.07,1.89,0,0,7,2,2,80
41,2.12,12,22,49,150.00,150.00,400.00,0,2.12,1.94,0,0,9,4,1,83
42,2.17,12,25,50,150.00,150.00,400.00,0,2.17,1.99,0,0,5,3,1,85
43,2.22,12,28,49,150.00,150.00,400.00,0,2.22,1.99,0,0,6,4,0,89
44,2.28,12,30,51,150.00,150.00,400.00,0,2.27,1.83,0,0,8,4,3,90
45,2.33,12,20,51,150.00,150.00,400.00,0,2.33,1.88,0,0,17,8,0,98
46,2.38,12,22,52,150.00,150.00,400.00,0,2.38,1.94,0,0,5,3,1,100
47,2.43,11,25,52,150.00,150.00,400.00,0,2.43,1.99,0,1,5,4,0,103
48,2.48,11,30,52,150.00,150.00,400.00,0,2.48,2.00,0,0,5,1,1,103
49,2.53,11,31,50,150.00,150.00,400.00,0,2.53,1.99,0,0,7,4,0,107
50,2.59,11,33,50,150.00,150.00,400.00,0,2.58,1.98,0,0,7,4,2,109
51,2.64,11,37,50,150.00,150.00,400.00,0,2.64,1.99,0,0,6,5,2,112
52,2.69,11,40,50,150.00,150.00,400.00,0,2.69,2.00,0,0,4,3,1,114
53,2.74,11,40,49,150.00,150.00,400.00,0,2.74,1.94,0,0,8,6,2,118
54,2.79,11,38,49,150.00,150.00,400.00,0,2.79,2.00,0,0,6,1,0,119
55,2.84,10,36,45,150.00,150.00,400.00,0,2.84,1.97,0,1,4,2,0,113
56,2.90,10,37,46,150.00,150.00,400.00,0,2.89,1.97,0,0,8,3,2,114
57,2.95,10,36,47,150.00,150.00,400.00,0,2.95,1.98,0,0,12,3,2,115
58,3.00,10,30,45,150.00,150.00,400.00,0,3.00,1.99,0,0,8,5,0,120
59,3.05,10,27,44,150.00,150.00,400.00,0,3.05,1.92,0,0,14,8,1,127
60,3.10,12,12,44,149.65,151.55,398.39,1,3.10,1.97,2,0,16,10,0,137
61,3.15,11,13,43,149.62,151.69,398.24,1,3.15,1.96,0,1,4,0,0,124
62,3.21,11,14,42,149.62,151.69,398.24,1,3.20,1.92,0,0,5,2,1,125
63,3.26,11,22,42,149.62,151.69,398.24,1,3.26,1.97,0,0,8,2,0,127
64,3.31,11,20,42,149.62,151.69,398.24,1,3.31,1.99,0,0,9,4,1,130
65,3.36,11,18,41,149.62,151.69,398.24,1,3.36,1.95,0,0,8,4,2,132
66,3.41,11,18,40,149.62,151.69,398.24,1,3.41,1.93,0,0,7,6,1,137
67,3.46,11,23,42,149.62,151.69,398.24,1,3.46,1.98,0,0,4,3,2,138
68,3.52,11,21,39,149.62,151.69,398.24,1,3.51,1.99,0,0,6,5,0,143
69,3.57,11,21,40,149.62,151.69,398.24,1,3.57,1.95,0,0,9,4,2,145
70,3.62,11,26,40,149.62,151.69,398.24,1,3.62,1.98,0,0,4,2,1,146
71,3.67,11,25,40,149.62,151.69,398.24,1,3.67,1.95,0,0,10,5,3,148
72,3.72,11,25,41,149.62,151.69,398.24,1,3.72,1.98,0,0,6,3,2,149
73,3.77,11,26,41,149.62,151.69,398.24,1,3.77,1.97,0,0,4,3,1,151
74,3.83,11,30,40,149.62,151.69,398.24,1,3.82,1.96,0,0,6,3,0,154
75,3.88,11,28,38,149.62,151.69,398.24,1,3.88,1.95,0,0,9,6,0,160
76,3.93,11,31,39,149.62,151.69,398.24,1,3.93,1.89,0,0,3,2,2,160
77,3.98,11,29,40,149.62,151.69,398.24,1,3.98,1.94,0,0,10,5,1,164
78,4.03,11,28,42,149.62,151.69,398.24,1,4.03,1.99,0,0,10,4,2,166
79,4.08,11,31,40,149.62,151.69,398.24,1,4.08,1.91,0,0,2,1,1,166
80,4.14,11,28,43,149.62,151.69,398.24,1,4.13,1.96,0,0,9,4,3,167
81,4.19,11,22,42,149.62,151.69,398.24,1,4.18,1.96,0,0,9,2,0,169
82,4.24,10,26,42,149.58,151.86,398.06,1,4.24,1.99,0,1,5,2,1,158
83,4.29,9,25,40,149.54,152.06,397.85,1,4.29,1.94,0,1,8,3,0,138
84,4.34,9,22,43,149.54,152.06,397.85,1,4.34,2.00,0,0,11,6,3,141
85,4.39,9,20,43,149.54,152.06,397.85,1,4.39,1.92,0,0,6,4,1,144
86,4.44,9,24,44,149.54,152.06,397.85,1,4.44,1.97,0,0,4,1,1,144
87,4.50,9,26,43,149.54,152.06,397.85,1,4.49,1.95,0,0,4,3,0,147
88,4.55,9,25,43,149.54,152.06,397.85,1,4.55,2.00,0,0,6,1,0,148
89,4.60,9,27,44,149.54,152.06,397.85,1,4.60,2.00,0,0,6,2,3,147
90,4.65,9,28,43,149.54,152.06,397.85,1,4.65,1.95,0,0,7,3,2,148
91,4.70,9,24,43,149.54,152.06,397.85,1,4.70,2.00,0,0,9,2,0,150
92,4.75,9,21,42,149.54,152.06,397.85,1,4.75,1.87,0,0,4,3,1,152
93,4.81,9,26,42,149.54,152.06,397.85,1,4.80,1.92,0,0,4,2,0,154
94,4.86,9,28,45,149.54,152.06,397.85,1,4.86,1.97,0,0,9,4,3,155
95,4.91,9,21,43,149.54,152.06,397.85,1,4.91,2.00,0,0,8,8,0,163
96,4.96,9,17,43,149.54,152.06,397.85,1,4.96,1.96,0,0,13,6,2,167
97,5.01,9,22,43,149.54,152.06,397.85,1,5.01,1.84,0,0,4,2,1,168
98,5.06,9,17,45,149.54,152.06,397.85,1,5.06,1.89,0,0,8,3,2,169
99,5.12,9,18,45,149.54,152.06,397.85,1,5.11,1.95,0,0,6,3,0,172
100,5.17,9,24,47,149.54,152.06,397.85,1,5.17,2.00,0,0,4,0,2,170
101,5.22,9,23,46,149.54,152.06,397.85,1,5.22,1.93,0,0,8,5,0,175
102,5.27,9,20,46,149.54,152.06,397.85,1,5.27,1.98,0,0,12,6,0,181
103,5.32,9,22,46,149.54,152.06,397.85,1,5.32,1.98,0,0,4,1,2,180
104,5.37,9,24,45,149.54,152.06,397.85,1,5.37,1.98,0,0,7,3,0,183
105,5.43,9,24,46,149.54,152.06,397.85,1,5.42,1.98,0,0,8,3,3,183
106,5.48,9,26,46,149.54,152.06,397.85,1,5.48,1.93,0,0,6,3,1,185
107,5.53,9,27,47,149.54,152.06,397.85,1,5.53,1.99,0,0,5,3,1,187
108,5.58,9,26,45,149.54,152.06,397.85,1,5.58,1.96,0,0,5,3,1,189
109,5.63,9,29,49,149.54,152.06,397.85,1,5.63,1.99,0,0,10,4,5,188
110,5.68,10,24,47,148.49,151.35,398.29,2,5.68,1.99,1,0,12,10,0,198
111,5.74,10,24,45,148.49,151.35,398.29,2,5.73,2.00,0,0,6,2,0,200
112,5.79,9,19,46,148.69,151.59,399.85,2,5.79,1.91,0,1,10,5,2,192
113,5.84,9,20,48,148.69,151.59,399.85,2,5.84,1.96,0,0,8,3,2,193
114,5.89,10,20,47,149.33,150.21,399.70,2,5.89,1.96,1,0,8,3,0,196
115,5.94,9,19,48,149.25,150.23,399.67,2,5.94,1.98,0,1,6,4,2,167
116,5.99,9,20,47,149.25,150.23,399.67,2,5.99,1.97,0,0,6,5,0,172
117,6.05,9,22,45,149.25,150.23,399.67,2,6.04,1.97,0,0,4,2,0,174
118,6.10,9,23,43,149.25,150.23,399.67,2,6.10,1.97,0,0,6,2,0,176
119,6.15,9,22,42,149.25,150.23,399.67,2,6.15,1.94,0,0,8,7,1,182
120,6.20,9,25,42,149.25,150.23,399.67,2,6.20,1.99,0,0,4,0,0,182
121,6.25,9,27,42,149.25,150.23,399.67,2,6.25,1.95,0,0,3,2,1,183
122,6.30,10,28,45,148.60,150.14,400.33,2,6.30,1.99,1,0,9,5,4,184
123,6.36,9,25,43,148.44,150.16,400.37,2,6.35,1.98,0,1,8,1,0,162
124,6.41,9,27,43,148.44,150.16,400.37,2,6.41,1.98,0,0,6,3,1,164
125,6.46,9,27,43,148.44,150.16,400.37,2,6.46,1.89,0,0,8,6,1,169
126,6.51,9,22,43,148.44,150.16,400.37,2,6.51,1.94,0,0,9,2,0,171
127,6.56,9,22,43,148.44,150.16,400.37,2,6.56,1.99,0,0,7,4,0,175
128,6.61,9,23,43,148.44,150.16,400.37,2,6.61,1.99,0,0,9,3,3,175
129,6.67,9,20,41,148.44,150.16,400.37,2,6.66,1.95,0,0,5,2,0,177
130,6.72,10,21,44,148.92,151.13,400.06,2,6.72,2.00,1,0,9,7,3,181
131,6.77,9,18,43,148.80,151.26,400.07,2,6.77,1.96,0,1,9,6,0,144
132,6.82,9,18,42,148.80,151.26,400.07,2,6.82,1.99,0,0,4,2,0,146
133,6.87,9,22,41,148.80,151.26,400.07,2,6.87,1.94,0,0,0,0,1,145
134,6.92,10,21,44,149.62,151.42,399.49,2,6.92,1.99,1,0,11,7,3,149
135,6.97,11,27,42,150.24,152.92,397.54,2,6.97,1.99,1,0,6,2,0,151
