epoch,year,population,food,bushes,water,avg_speed,avg_vision,avg_reproduction,avg_hunger,avg_thirst,max_generation,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,504,10,15,3,30.48,107.71,84.58,60.52,97.80,30,0.05,0.05,484,0,5,1,0,1
2,0.10,840,10,15,3,38.13,118.43,80.57,58.30,95.51,60,0.10,0.10,336,0,0,0,0,1
3,0.15,1080,9,15,3,44.00,126.35,75.97,56.51,93.01,90,0.15,0.15,240,0,1,1,0,2
4,0.20,1328,6,16,3,49.72,130.55,73.16,54.93,90.84,121,0.20,0.20,248,0,3,2,1,3
5,0.25,1576,5,17,3,56.53,133.52,71.72,53.60,88.62,152,0.25,0.24,248,0,9,3,1,5
6,0.31,1827,3,18,3,61.31,137.20,71.21,52.14,86.36,184,0.31,0.29,251,0,7,3,1,7
7,0.36,2051,0,18,3,64.78,139.36,70.33,50.57,84.09,216,0.36,0.35,224,0,6,3,0,10
8,0.41,2246,1,20,3,67.86,141.37,69.52,49.01,81.67,248,0.41,0.40,195,0,12,5,2,13
9,0.47,2438,1,20,3,70.94,144.64,69.24,47.38,79.25,280,0.47,0.45,192,0,3,1,0,14
10,0.52,2575,2,22,3,73.69,147.73,68.76,45.89,77.10,307,0.51,0.51,137,0,3,2,2,14
