epoch,year,population,food,bushes,water,avg_generation,max_generation,avg_memory,avg_speed,avg_vision,avg_age,avg_hunger,avg_thirst,oldest_age,oldest_bush_age,births,deaths,food_eaten,seeds_found,seeds_planted,seeds_held
1,0.05,35,14,15,3,0.00,0,0.032,80.00,150.00,0.05,97.52,96.34,0.05,0.05,0,0,1,1,0,1
2,0.10,35,14,15,3,0.00,0,0.025,80.00,150.00,0.10,95.02,92.49,0.10,0.10,0,0,0,0,0,1
3,0.15,35,13,15,3,0.00,0,0.005,80.00,150.00,0.15,92.69,88.49,0.15,0.15,0,0,1,0,0,1
4,0.20,35,14,16,3,0.00,0,0.009,80.00,150.00,0.20,90.19,84.74,0.20,0.20,0,0,0,0,1,0
5,0.25,35,16,16,3,0.00,0,0.020,80.00,150.00,0.25,87.60,80.73,0.25,0.25,0,0,0,0,0,0
6,0.30,35,18,16,3,0.00,0,0.007,80.00,150.00,0.30,85.40,76.63,0.30,0.30,0,0,1,0,0,0
7,0.36,35,18,16,3,0.00,0,0.003,80.00,150.00,0.35,84.11,72.50,0.35,0.35,0,0,3,2,0,2
8,0.41,35,23,16,3,0.00,0,0.001,80.00,150.00,0.41,81.60,68.36,0.41,0.41,0,0,1,0,0,2
9,0.46,35,24,16,3,0.00,0,-0.001,80.00,150.00,0.46,79.10,64.36,0.46,0.46,0,0,0,0,0,2
10,0.51,35,24,16,3,0.00,0,0.010,80.00,150.00,0.51,76.71,61.22,0.51,0.51,0,0,1,0,0,2
11,0.56,35,25,16,3,0.00,0,0.015,80.00,150.00,0.56,74.89,58.32,0.56,0.56,0,0,1,1,0,3
12,0.61,35,27,16,3,0.00,0,0.021,80.00,150.00,0.61,72.30,54.30,0.61,0.61,0,0,0,0,0,3
13,0.66,35,25,16,3,0.00,0,0.035,80.00,150.00,0.66,71.64,51.79,0.66,0.66,0,0,7,3,0,6
14,0.72,35,30,16,3,0.00,0,0.027,80.00,150.00,0.71,69.15,49.33,0.71,0.71,0,0,1,0,0,6
15,0.77,35,32,17,3,0.00,0,0.020,80.00,150.00,0.77,67.65,45.44,0.77,0.77,0,0,1,1,1,6
16,0.82,35,25,17,3,0.00,0,0.027,80.00,150.00,0.82,65.79,41.43,0.82,0.82,0,0,8,7,0,13
17,0.87,35,26,17,3,0.00,0,0.034,80.00,150.00,0.87,64.41,39.74,0.87,0.87,0,0,1,0,0,13
18,0.92,35,26,18,3,0.00,0,0.056,80.00,150.00,0.92,62.02,35.99,0.92,0.92,0,0,1,0,1,12
19,0.97,35,32,18,3,0.00,0,0.047,80.00,150.00,0.97,59.44,34.27,0.97,0.97,0,0,0,0,0,12
20,1.03,35,34,18,3,0.00,0,0.033,80.00,150.00,1.03,56.85,30.31,1.03,1.02,0,0,0,0,0,12
21,1.08,35,34,20,3,0.00,0,-0.088,80.00,150.00,1.08,56.40,29.09,1.08,1.08,0,0,4,3,2,13
22,1.13,35,36,20,3,0.00,0,-0.278,80.00,150.00,1.13,53.82,27.81,1.13,1.13,0,0,0,0,0,13
23,1.18,35,38,20,3,0.00,0,-0.304,80.00,150.00,1.18,51.23,24.05,1.18,1.18,0,0,0,0,0,13
24,1.23,35,38,21,3,0.00,0,-0.315,80.00,150.00,1.23,49.45,21.59,1.23,1.23,0,0,1,0,1,12
25,1.28,9,40,21,3,0.00,0,0.155,80.00,150.00,1.28,40.51,76.46,1.28,1.28,0,26,0,0,0,0
26,1.34,9,43,21,3,0.00,0,0.261,80.00,150.00,1.34,45.12,78.50,1.34,1.33,0,0,1,1,0,1
27,1.39,9,46,21,3,0.00,0,0.219,80.00,150.00,1.39,42.54,75.94,1.39,1.39,0,0,0,0,0,1
28,1.44,9,47,21,3,0.00,0,0.172,80.00,150.00,1.44,39.95,73.23,1.44,1.44,0,0,0,0,0,1
29,1.49,9,49,21,3,0.00,0,0.262,80.00,150.00,1.49,37.37,71.69,1.49,1.49,0,0,0,0,0,1
30,1.54,8,50,21,3,0.00,0,0.352,80.00,150.00,1.54,36.27,78.32,1.54,1.54,0,1,0,0,0,1
31,1.59,8,54,21,3,0.00,0,0.358,80.00,150.00,1.59,39.94,76.12,1.59,1.59,0,0,1,1,0,2
32,1.65,8,53,21,3,0.00,0,0.235,80.00,150.00,1.65,41.07,73.42,1.65,1.64,0,0,1,1,0,3
33,1.70,8,55,21,3,0.00,0,0.157,80.00,150.00,1.70,38.49,70.32,1.70,1.70,0,0,0,0,0,3
34,1.75,8,56,21,3,0.00,0,-0.103,80.00,150.00,1.75,35.91,67.22,1.75,1.75,0,0,0,0,0,3
35,1.80,7,55,21,3,0.00,0,-0.109,80.00,150.00,1.80,33.96,73.43,1.80,1.80,0,1,2,2,0,5
36,1.85,7,57,21,3,0.00,0,-0.127,80.00,150.00,1.85,31.38,70.48,1.85,1.85,0,0,0,0,0,5
37,1.90,7,57,21,3,0.00,0,-0.128,80.00,150.00,1.90,28.80,67.52,1.90,1.90,0,0,0,0,0,5
38,1.96,7,60,22,3,0.00,0,-0.053,80.00,150.00,1.96,28.61,68.86,1.96,1.95,0,0,1,0,1,4
39,2.01,2,17,7,3,0.00,0,0.002,80.00,150.00,2.01,91.92,40.27,2.01,1.85,0,5,0,0,0,4
40,2.06,2,17,7,3,0.00,0,0.000,80.00,150.00,2.06,89.33,36.13,2.06,1.91,0,0,0,0,0,4
41,2.11,2,17,7,3,0.00,0,0.000,80.00,150.00,2.11,86.75,32.00,2.11,1.96,0,0,0,0,0,4
42,2.16,2,15,6,3,0.00,0,0.000,80.00,150.00,2.16,84.17,27.87,2.16,1.43,0,0,0,0,0,4
43,2.21,2,17,7,3,0.00,0,0.016,80.00,150.00,2.21,81.58,23.73,2.21,1.48,0,0,0,0,1,3
44,2.27,2,17,7,3,0.00,0,-0.137,80.00,150.00,2.26,79.00,19.60,2.26,1.53,0,0,0,0,0,3
45,2.32,2,17,7,3,0.00,0,-0.227,80.00,150.00,2.32,76.42,15.47,2.32,1.58,0,0,0,0,0,3
46,2.37,2,17,7,3,0.00,0,-0.245,80.00,150.00,2.37,73.83,11.33,2.37,1.63,0,0,0,0,0,3
47,2.42,2,17,7,3,0.00,0,-0.341,80.00,150.00,2.42,71.25,7.20,2.42,1.68,0,0,0,0,0,3
48,2.47,1,17,7,3,0.00,0,-0.436,80.00,150.00,2.47,72.92,9.73,2.47,1.74,0,1,0,0,0,0
49,2.52,1,18,7,3,0.00,0,-0.492,80.00,150.00,2.52,70.33,5.60,2.52,1.79,0,0,0,0,0,0
50,2.58,1,19,7,3,0.00,0,-0.498,80.00,150.00,2.57,67.75,1.47,2.57,1.84,0,0,0,0,0,0
51,2.63,0,19,7,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0,1,0,0,0,0
52,2.68,0,19,7,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0,0,0,0,0,0
53,2.73,0,19,7,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0,0,0,0,0,0
54,2.78,0,17,6,3,0.00,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0,0,0,0,0,0
